id,nazwa_kraju
1,Polska
2,Niemcy
3,Hiszpania
4,Włochy
5,Francja
6,Anglia
7,Holandia
8,Belgia
9,Portugalia
10,Czechy
11,Słowacja
12,Szwajcaria
13,Austria
14,Ukraina
15,Rosja
16,Szwecja
17,Norwegia
18,Finlandia
19,Dania
20,Islandia
21,Irlandia
22,Szkocja
23,Walia
24,Grecja
25,Turcja
26,Chorwacja
27,Serbia
28,Rumunia
29,Bułgaria
30,Węgry
31,Słowenia
32,Bośnia i Hercegowina
33,Litwa
34,Łotwa
35,Estonia
36,Kazachstan
37,Gruzja
38,Armenia
39,Izrael
40,USA
41,Kanada
42,Meksyk
43,Brazylia
44,Argentyna
45,Urugwaj
46,Chile
47,Kolumbia
48,Peru
49,Ekwador
